"Echantillon";"AUC";"Espece";"Model";"Type";"blocs"
4;0,673431713820175;"B. aegyptiaca";"Oui";"domain";"Avec blocs"
5;0,545712032416409;"B. aegyptiaca";"Oui";"domain";"Avec blocs"
1;0,536574700425203;"A. leiocarpus";"Non";"domain";"Avec blocs"
2;0,648138583451809;"A. leiocarpus";"Non";"domain";"Avec blocs"
3;0,739429724277068;"A. leiocarpus";"Non";"domain";"Avec blocs"
4;0,473857186891124;"A. leiocarpus";"Non";"domain";"Avec blocs"
5;0,653343673469388;"A. leiocarpus";"Non";"domain";"Avec blocs"
1;0,657511113258601;"A. leiocarpus";"Oui";"domain";"Avec blocs"
2;0,558589030659684;"A. leiocarpus";"Oui";"domain";"Avec blocs"
3;0,731359784801614;"A. leiocarpus";"Oui";"domain";"Avec blocs"
4;0,556938604106633;"A. leiocarpus";"Oui";"domain";"Avec blocs"
5;0,672287346938775;"A. leiocarpus";"Oui";"domain";"Avec blocs"
1;0,74367291781892;"A. digitata";"Non";"domain";"Avec blocs"
2;0,744034344335415;"A. digitata";"Non";"domain";"Avec blocs"
3;0,736645839924075;"A. digitata";"Non";"domain";"Avec blocs"
4;0,725184427130094;"A. digitata";"Non";"domain";"Avec blocs"
5;0,584872753158925;"A. digitata";"Non";"domain";"Avec blocs"
1;0,470051487903479;"A. digitata";"Oui";"domain";"Avec blocs"
2;0,690343443354148;"A. digitata";"Oui";"domain";"Avec blocs"
3;0,632604397342613;"A. digitata";"Oui";"domain";"Avec blocs"
4;0,583905397515021;"A. digitata";"Oui";"domain";"Avec blocs"
5;0,63793850695644;"A. digitata";"Oui";"domain";"Avec blocs"
1;0,755257981626342;"A. nilotica";"Non";"domain";"Avec blocs"
2;0,566720633207411;"A. nilotica";"Non";"domain";"Avec blocs"
3;0,581543998216504;"A. nilotica";"Non";"domain";"Avec blocs"
4;0,679858322177599;"A. nilotica";"Non";"domain";"Avec blocs"
5;0,329465930018416;"A. nilotica";"Non";"domain";"Avec blocs"
1;0,651533791158814;"A. nilotica";"Oui";"domain";"Avec blocs"
2;0,609955191417685;"A. nilotica";"Oui";"domain";"Avec blocs"
